PacmanMove,totalTime,score,pacmanCurrentNodeIndex,pacmanLastMoveMade,ghost1NodeIndex,ghost1EdibleTime,ghost1LairTime,ghost1LastMove,ghost2NodeIndex,ghost2EdibleTime,ghost2LairTime,ghost2LastMove,ghost3NodeIndex,ghost3EdibleTime,ghost3LairTime,ghost3LastMove,ghost4NodeIndex,ghost4EdibleTime,ghost4LairTime,ghost4LastMove,timeOfLastGlobalReversal,pacmanWasEaten,ghost1Eaten,ghost2Eaten,ghost3Eaten,ghost4Eaten,scoreDiff10,scoreDiff25,scoreDiff50,ghost1Distance,ghost2Distance,ghost3Distance,ghost4Distance,euclideanDistanceToPp,pathDistanceToPp,remainingPp
UP,477,1660,456,UP,1292,0,14,NEUTRAL,239,127,0,LEFT,493,0,0,LEFT,1222,127,0,RIGHT,404,false,false,false,false,false,0,0,660,-1,55,37,95,98,98,2
LEFT,489,1660,348,UP,1292,0,2,NEUTRAL,233,115,0,LEFT,481,0,0,LEFT,1228,115,0,RIGHT,404,false,false,false,false,false,0,0,430,-1,45,37,113,95,95,2
UP,514,1670,399,LEFT,521,0,0,RIGHT,119,90,0,UP,704,0,0,DOWN,1241,90,0,RIGHT,404,false,false,false,false,false,10,10,10,31,33,85,126,25,25,2
RIGHT,530,1710,237,UP,537,0,0,RIGHT,59,74,0,RIGHT,720,0,0,RIGHT,1249,74,0,RIGHT,404,false,false,false,false,false,30,50,50,31,25,96,134,11,11,2
RIGHT,582,2080,225,DOWN,533,163,0,LEFT,1292,0,33,NEUTRAL,716,163,0,LEFT,1237,163,0,LEFT,545,false,false,false,false,false,230,270,370,47,-1,88,158,94,94,1
DOWN,594,2100,237,RIGHT,527,151,0,LEFT,1292,0,21,NEUTRAL,710,151,0,LEFT,1231,151,0,LEFT,545,false,false,false,false,false,20,260,360,41,-1,106,152,92,92,1
DOWN,610,2100,399,DOWN,519,135,0,LEFT,1292,0,5,NEUTRAL,669,135,0,UP,1223,135,0,LEFT,545,false,false,false,false,false,0,20,280,33,-1,83,133,76,76,1
DOWN,622,2130,540,DOWN,446,123,0,UP,505,0,0,RIGHT,633,123,0,UP,1157,123,0,UP,545,false,false,false,false,false,30,30,280,27,35,76,126,64,64,1
LEFT,646,2180,753,DOWN,389,99,0,RIGHT,616,0,0,DOWN,554,99,0,UP,1103,99,0,RIGHT,545,false,false,false,false,false,20,60,80,63,37,69,90,40,40,1
UP,682,2180,599,LEFT,286,63,0,UP,715,0,0,LEFT,466,63,0,LEFT,972,63,0,UP,545,false,false,false,false,false,0,0,30,45,37,62,84,61,61,1
UP,694,2180,516,UP,250,51,0,UP,675,0,0,UP,460,51,0,LEFT,978,51,0,RIGHT,545,false,false,false,false,false,0,0,0,39,59,56,90,71,71,1
RIGHT,706,2180,386,UP,230,39,0,RIGHT,582,0,0,UP,448,39,0,UP,984,39,0,RIGHT,545,false,false,false,false,false,0,0,0,33,59,74,96,82,82,1
LEFT,734,2240,225,UP,287,11,0,DOWN,366,0,0,RIGHT,312,11,0,UP,1112,11,0,RIGHT,545,false,false,false,false,false,20,60,60,19,59,57,138,94,94,1
LEFT,746,2270,213,LEFT,329,0,0,DOWN,308,0,0,UP,270,0,0,UP,1119,0,0,RIGHT,545,false,false,false,false,false,30,60,90,38,35,65,157,97,97,1
DOWN,758,2290,201,LEFT,451,0,0,DOWN,190,0,0,RIGHT,160,0,0,RIGHT,1176,0,0,DOWN,545,false,false,false,false,false,20,50,110,62,11,41,157,101,101,1
DOWN,786,2290,386,RIGHT,514,0,0,LEFT,218,0,0,RIGHT,188,0,0,RIGHT,1284,0,0,RIGHT,545,false,false,false,false,false,0,0,50,14,35,41,123,82,82,1
RIGHT,798,2290,516,DOWN,502,0,0,LEFT,230,0,0,RIGHT,308,0,0,DOWN,1166,0,0,UP,545,false,false,false,false,false,0,0,20,14,45,63,99,71,71,1
DOWN,822,2290,540,RIGHT,546,0,0,DOWN,415,0,0,DOWN,437,0,0,DOWN,1023,0,0,LEFT,545,false,false,false,false,false,0,0,0,62,11,65,51,64,64,1
DOWN,846,2290,753,DOWN,620,0,0,DOWN,527,0,0,LEFT,651,0,0,DOWN,777,0,0,UP,545,false,false,false,false,false,0,0,0,47,37,68,3,40,40,1
UP,886,2430,1271,LEFT,498,0,0,NEUTRAL,1292,0,20,NEUTRAL,1292,0,40,NEUTRAL,1292,0,60,NEUTRAL,545,false,false,false,false,false,30,70,140,126,-1,-1,-1,-1,-1,0
RIGHT,910,2490,1008,UP,563,0,0,DOWN,502,0,0,RIGHT,1292,0,16,NEUTRAL,1292,0,36,NEUTRAL,545,false,false,false,false,false,30,70,130,78,98,-1,-1,-1,-1,0
RIGHT,922,2520,1020,RIGHT,605,0,0,RIGHT,514,0,0,RIGHT,1292,0,4,NEUTRAL,1292,0,24,NEUTRAL,545,false,false,false,false,false,30,70,130,54,74,-1,-1,-1,-1,0
LEFT,974,2550,1271,LEFT,923,0,0,DOWN,849,0,0,RIGHT,710,0,0,RIGHT,578,0,0,DOWN,545,false,false,false,false,false,0,0,30,38,58,90,110,-1,-1,0
LEFT,986,2570,1259,LEFT,1010,0,0,LEFT,890,0,0,DOWN,787,0,0,DOWN,669,0,0,DOWN,545,false,false,false,false,false,20,20,20,38,58,90,110,-1,-1,0
LEFT,1022,2570,1223,LEFT,974,0,0,LEFT,970,0,0,LEFT,954,0,0,LEFT,836,0,0,LEFT,545,false,false,false,false,false,0,0,20,38,38,42,62,-1,-1,0
UP,1034,2570,1211,LEFT,962,0,0,LEFT,958,0,0,LEFT,942,0,0,LEFT,824,0,0,LEFT,545,false,false,false,false,false,0,0,0,38,34,30,58,-1,-1,0
LEFT,1060,2610,1008,LEFT,1292,0,29,NEUTRAL,1292,0,49,NEUTRAL,1292,0,69,NEUTRAL,1292,0,89,NEUTRAL,545,false,false,false,false,false,0,40,40,-1,-1,-1,-1,-1,-1,0
LEFT,1072,2630,996,LEFT,1292,0,17,NEUTRAL,1292,0,37,NEUTRAL,1292,0,57,NEUTRAL,1292,0,77,NEUTRAL,545,false,false,false,false,false,20,30,60,-1,-1,-1,-1,-1,-1,0
LEFT,1084,2630,984,LEFT,1292,0,5,NEUTRAL,1292,0,25,NEUTRAL,1292,0,45,NEUTRAL,1292,0,65,NEUTRAL,545,false,false,false,false,false,0,20,60,-1,-1,-1,-1,-1,-1,0
DOWN,1096,2640,972,LEFT,491,0,0,LEFT,1292,0,13,NEUTRAL,1292,0,33,NEUTRAL,1292,0,53,NEUTRAL,545,false,false,false,false,false,10,10,40,95,-1,-1,-1,-1,-1,0
LEFT,1132,2720,1223,DOWN,705,0,0,RIGHT,521,0,0,RIGHT,495,0,0,LEFT,1292,0,17,NEUTRAL,545,false,false,false,false,false,20,60,90,95,137,135,-1,-1,-1,0
UP,1144,2720,1211,LEFT,767,0,0,DOWN,533,0,0,RIGHT,483,0,0,LEFT,1292,0,5,NEUTRAL,545,false,false,false,false,false,0,30,90,71,116,111,-1,-1,-1,0
LEFT,1168,2740,948,UP,885,0,0,DOWN,642,0,0,DOWN,589,0,0,LEFT,542,0,0,DOWN,545,false,false,false,false,false,20,20,50,23,68,63,83,-1,-1,0
UP,1180,2760,936,LEFT,959,0,0,LEFT,758,0,0,RIGHT,662,0,0,DOWN,615,0,0,DOWN,545,false,false,false,false,false,20,40,40,23,44,39,61,-1,-1,0
RIGHT,1192,2760,810,UP,947,0,0,LEFT,683,0,0,RIGHT,694,0,0,LEFT,705,0,0,RIGHT,545,false,false,false,false,false,0,30,40,23,20,15,59,-1,-1,0
DOWN,1216,2820,834,RIGHT,1053,0,0,DOWN,656,0,0,UP,916,0,0,DOWN,729,0,0,RIGHT,545,false,false,false,false,false,30,60,90,49,52,33,37,-1,-1,0
RIGHT,1228,2850,960,DOWN,1149,0,0,DOWN,590,0,0,RIGHT,945,0,0,RIGHT,676,0,0,UP,545,false,false,false,false,false,30,70,90,49,68,15,61,-1,-1,0
RIGHT,1240,2870,972,RIGHT,1196,0,0,RIGHT,633,0,0,DOWN,957,0,0,RIGHT,583,0,0,UP,545,false,false,false,false,false,20,60,110,63,68,15,85,-1,-1,0
RIGHT,1252,2870,984,RIGHT,1208,0,0,RIGHT,708,0,0,RIGHT,969,0,0,RIGHT,454,0,0,UP,545,false,false,false,false,false,0,30,90,63,68,15,85,-1,-1,0
RIGHT,1264,2870,996,RIGHT,1138,0,0,UP,720,0,0,RIGHT,981,0,0,RIGHT,387,0,0,RIGHT,545,false,false,false,false,false,0,0,60,63,44,15,85,-1,-1,0
RIGHT,1276,2870,1008,RIGHT,1042,0,0,UP,780,0,0,DOWN,1080,0,0,DOWN,334,0,0,UP,545,false,false,false,false,false,0,0,30,63,44,33,109,-1,-1,0
UP,1288,2870,1020,RIGHT,939,0,0,LEFT,851,0,0,RIGHT,1119,0,0,RIGHT,262,0,0,UP,545,false,false,false,false,false,0,0,0,76,44,57,91,-1,-1,0
UP,1300,2890,883,UP,892,0,0,UP,863,0,0,RIGHT,1176,0,0,DOWN,234,0,0,RIGHT,545,false,false,false,false,false,20,20,20,52,20,63,67,-1,-1,0
LEFT,1312,2890,753,UP,774,0,0,UP,875,0,0,RIGHT,1268,0,0,RIGHT,299,0,0,DOWN,545,false,false,false,false,false,0,20,20,28,20,63,43,-1,-1,0
DOWN,1348,2890,599,LEFT,595,0,0,RIGHT,572,0,0,UP,999,0,0,LEFT,523,0,0,LEFT,545,false,false,false,false,false,0,0,0,63,44,63,19,-1,-1,0
DOWN,1372,2890,728,LEFT,713,0,0,RIGHT,317,0,0,UP,868,0,0,RIGHT,499,0,0,LEFT,545,false,false,false,false,false,0,0,0,15,76,33,53,-1,-1,0
DOWN,1396,2890,859,RIGHT,737,0,0,RIGHT,225,0,0,LEFT,919,0,0,DOWN,558,0,0,DOWN,545,false,false,false,false,false,0,0,0,33,100,33,67,-1,-1,0
LEFT,1408,2890,996,DOWN,628,0,0,UP,316,0,0,DOWN,1011,0,0,LEFT,639,0,0,DOWN,545,false,false,false,false,false,0,0,0,57,100,15,67,-1,-1,0
LEFT,1420,2890,984,LEFT,551,0,0,UP,390,0,0,LEFT,1081,0,0,DOWN,709,0,0,RIGHT,545,false,false,false,false,false,0,0,0,81,100,33,67,-1,-1,0
LEFT,1432,2890,972,LEFT,422,0,0,UP,442,0,0,DOWN,1177,0,0,DOWN,783,0,0,DOWN,545,false,false,false,false,false,0,0,0,105,100,57,43,-1,-1,0
LEFT,1444,2890,960,LEFT,395,0,0,RIGHT,524,0,0,RIGHT,1262,0,0,LEFT,841,0,0,LEFT,545,false,false,false,false,false,0,0,0,105,92,63,19,-1,-1,0
LEFT,1456,2910,948,LEFT,286,0,0,UP,536,0,0,RIGHT,1250,0,0,LEFT,829,0,0,LEFT,545,false,false,false,false,false,20,20,20,129,89,63,29,-1,-1,0
UP,1468,2910,936,LEFT,119,0,0,UP,572,0,0,DOWN,1238,0,0,LEFT,817,0,0,LEFT,545,false,false,false,false,false,0,20,20,118,65,63,19,-1,-1,0
DOWN,8,20,691,DOWN,1292,0,32,NEUTRAL,1292,0,52,NEUTRAL,1292,0,72,NEUTRAL,1292,0,92,NEUTRAL,-1,false,false,false,false,false,-1,-1,-1,-1,-1,-1,-1,40,40,4
RIGHT,20,50,810,DOWN,1292,0,20,NEUTRAL,1292,0,40,NEUTRAL,1292,0,60,NEUTRAL,1292,0,80,NEUTRAL,-1,false,false,false,false,false,30,-1,-1,-1,-1,-1,-1,29,29,4
DOWN,44,110,834,RIGHT,494,0,0,LEFT,1292,0,16,NEUTRAL,1292,0,36,NEUTRAL,1292,0,56,NEUTRAL,-1,false,false,false,false,false,30,70,-1,74,-1,-1,-1,42,42,4
LEFT,56,140,960,DOWN,482,0,0,LEFT,1292,0,4,NEUTRAL,1292,0,24,NEUTRAL,1292,0,44,NEUTRAL,-1,false,false,false,false,false,30,70,130,74,-1,-1,-1,35,35,4
DOWN,68,170,948,LEFT,578,0,0,DOWN,490,0,0,LEFT,1292,0,12,NEUTRAL,1292,0,32,NEUTRAL,-1,false,false,false,false,false,30,70,130,74,94,-1,-1,25,25,4
LEFT,92,230,1211,DOWN,668,0,0,DOWN,621,0,0,DOWN,510,0,0,RIGHT,1292,0,8,NEUTRAL,-1,false,false,false,false,false,30,70,130,74,94,126,-1,21,21,4
UP,144,400,936,RIGHT,691,175,0,RIGHT,708,175,0,LEFT,524,175,0,LEFT,492,175,0,RIGHT,119,false,false,false,false,false,30,110,170,24,68,89,84,84,84,3
UP,156,420,810,UP,643,163,0,UP,669,163,0,UP,518,163,0,LEFT,498,163,0,RIGHT,119,false,false,false,false,false,20,60,160,18,58,83,78,72,72,3
UP,168,420,691,UP,585,151,0,UP,633,151,0,UP,512,151,0,LEFT,504,151,0,RIGHT,119,false,false,false,false,false,0,30,130,12,40,77,72,60,60,3
RIGHT,192,670,456,UP,1292,0,35,NEUTRAL,554,127,0,UP,500,127,0,LEFT,516,127,0,RIGHT,119,false,false,false,false,false,230,250,280,-1,28,44,60,36,36,3
UP,216,670,480,RIGHT,1292,0,11,NEUTRAL,488,103,0,RIGHT,488,103,0,LEFT,386,103,0,UP,119,false,false,false,false,false,0,10,250,-1,8,8,48,48,48,3
RIGHT,228,680,361,UP,497,0,0,LEFT,494,91,0,RIGHT,482,91,0,LEFT,392,91,0,RIGHT,119,false,false,false,false,false,10,10,250,29,26,14,66,40,40,3
RIGHT,256,750,189,UP,413,0,0,UP,508,63,0,RIGHT,361,63,0,UP,292,63,0,UP,119,false,false,false,false,false,30,70,80,29,60,28,44,44,44,3
RIGHT,268,780,201,RIGHT,372,0,0,RIGHT,514,51,0,RIGHT,355,51,0,LEFT,256,51,0,UP,119,false,false,false,false,false,30,70,110,29,42,46,26,44,44,3
RIGHT,280,810,213,RIGHT,272,0,0,UP,555,39,0,DOWN,349,39,0,LEFT,229,39,0,RIGHT,119,false,false,false,false,false,30,70,130,29,56,64,16,32,32,3
RIGHT,292,840,225,RIGHT,196,0,0,RIGHT,579,27,0,DOWN,301,27,0,UP,235,27,0,RIGHT,119,false,false,false,false,false,30,70,130,29,50,70,10,21,21,3
DOWN,304,870,237,RIGHT,208,0,0,RIGHT,603,15,0,RIGHT,265,15,0,UP,269,15,0,DOWN,119,false,false,false,false,false,30,70,130,29,68,73,4,11,11,3
DOWN,320,1310,399,DOWN,224,0,0,RIGHT,617,0,0,DOWN,170,0,0,RIGHT,1292,0,27,NEUTRAL,119,false,false,false,false,false,30,470,530,29,59,58,-1,25,25,3
LEFT,332,1340,540,DOWN,310,0,0,DOWN,742,0,0,RIGHT,182,0,0,RIGHT,1292,0,15,NEUTRAL,119,false,false,false,false,false,30,470,530,51,35,82,-1,36,36,3
DOWN,356,1340,516,LEFT,438,0,0,DOWN,584,0,0,UP,372,0,0,LEFT,507,0,0,RIGHT,119,false,false,false,false,false,0,10,470,5,35,59,9,48,48,3
RIGHT,368,1340,599,DOWN,523,0,0,RIGHT,455,0,0,UP,413,0,0,DOWN,551,0,0,DOWN,119,false,false,false,false,false,0,0,40,19,37,59,9,57,57,3
UP,404,1350,753,RIGHT,299,0,0,UP,144,0,0,UP,614,0,0,DOWN,776,0,0,DOWN,119,false,false,false,false,false,10,10,10,43,61,48,57,40,40,3
UP,428,1400,540,UP,262,0,0,DOWN,65,0,0,LEFT,673,0,0,UP,862,0,0,RIGHT,119,false,false,false,false,false,20,60,60,43,59,50,57,36,36,3
UP,440,1400,399,UP,334,0,0,DOWN,107,0,0,DOWN,581,0,0,UP,874,0,0,RIGHT,119,false,false,false,false,false,0,30,60,43,35,48,57,25,25,3
RIGHT,456,1400,237,UP,422,0,0,DOWN,298,0,0,DOWN,436,0,0,UP,785,0,0,UP,119,false,false,false,false,false,0,0,50,43,21,48,57,11,11,3
DOWN,508,1560,225,DOWN,385,163,0,LEFT,274,163,0,UP,337,163,0,LEFT,801,163,0,DOWN,471,false,false,false,false,false,20,60,160,29,5,42,73,80,80,2
LEFT,536,1830,386,LEFT,321,135,0,UP,1292,0,13,NEUTRAL,399,135,0,LEFT,927,135,0,DOWN,471,false,false,false,false,false,30,70,320,15,-1,48,83,72,72,2
RIGHT,564,2290,201,UP,1292,0,37,NEUTRAL,513,0,0,RIGHT,257,107,0,UP,1058,107,0,DOWN,471,false,false,false,false,false,420,460,520,-1,43,38,125,56,56,2
RIGHT,576,2290,213,RIGHT,1292,0,25,NEUTRAL,422,0,0,UP,241,95,0,RIGHT,1094,95,0,DOWN,471,false,false,false,false,false,0,430,490,-1,43,28,119,68,68,2
RIGHT,588,2290,225,RIGHT,1292,0,13,NEUTRAL,395,0,0,RIGHT,138,83,0,UP,1154,83,0,DOWN,471,false,false,false,false,false,0,0,460,-1,19,22,113,80,80,2
DOWN,600,2290,237,RIGHT,1292,0,1,NEUTRAL,286,0,0,UP,102,71,0,UP,1190,71,0,DOWN,471,false,false,false,false,false,0,0,430,-1,19,16,107,92,92,2
RIGHT,616,2290,399,DOWN,513,0,0,RIGHT,95,0,0,UP,74,55,0,LEFT,1284,55,0,LEFT,471,false,false,false,false,false,0,0,0,39,37,40,99,95,95,2
UP,641,2300,348,RIGHT,376,0,0,LEFT,90,0,0,DOWN,61,30,0,LEFT,1271,30,0,LEFT,471,false,false,false,false,false,10,10,10,82,59,68,121,25,25,2
LEFT,657,2340,153,UP,255,0,0,UP,239,0,0,LEFT,107,14,0,DOWN,1263,14,0,LEFT,471,false,false,false,false,false,30,50,50,50,59,76,145,11,11,2
DOWN,709,2510,165,DOWN,371,163,0,LEFT,64,163,0,RIGHT,64,163,0,RIGHT,1119,163,0,LEFT,672,false,false,false,false,false,30,70,170,38,78,78,157,121,121,1
RIGHT,737,2770,361,RIGHT,1292,0,35,NEUTRAL,78,135,0,RIGHT,78,135,0,RIGHT,1068,135,0,UP,672,false,false,false,false,false,220,260,320,-1,96,96,115,101,101,1
RIGHT,765,2770,189,UP,1292,0,7,NEUTRAL,243,107,0,LEFT,243,107,0,LEFT,991,107,0,RIGHT,672,false,false,false,false,false,0,0,250,-1,54,54,129,107,107,1
RIGHT,777,2770,201,RIGHT,503,0,0,RIGHT,237,95,0,LEFT,237,95,0,LEFT,926,95,0,UP,672,false,false,false,false,false,0,0,220,53,36,36,111,101,101,1
RIGHT,789,2770,213,RIGHT,515,0,0,RIGHT,231,83,0,LEFT,231,83,0,LEFT,902,83,0,UP,672,false,false,false,false,false,0,0,0,53,18,18,117,97,97,1
RIGHT,801,3970,225,RIGHT,414,0,0,UP,1292,0,38,NEUTRAL,1292,0,38,NEUTRAL,860,71,0,RIGHT,672,false,false,false,false,false,1200,1200,1200,29,-1,-1,99,94,94,1
DOWN,813,3970,237,RIGHT,397,0,0,RIGHT,1292,0,26,NEUTRAL,1292,0,26,NEUTRAL,866,59,0,RIGHT,672,false,false,false,false,false,0,1200,1200,29,-1,-1,81,92,92,1
RIGHT,829,3970,399,DOWN,250,0,0,UP,1292,0,10,NEUTRAL,1292,0,10,NEUTRAL,874,43,0,RIGHT,672,false,false,false,false,false,0,0,1200,29,-1,-1,57,76,76,1
DOWN,854,3970,348,RIGHT,201,0,0,LEFT,483,0,0,LEFT,483,0,0,LEFT,797,18,0,UP,672,false,false,false,false,false,0,0,0,64,39,39,69,119,119,1
DOWN,866,3990,456,DOWN,189,0,0,LEFT,574,0,0,DOWN,471,0,0,LEFT,773,6,0,UP,672,false,false,false,false,false,20,20,20,64,33,15,51,112,112,1
DOWN,890,3990,691,DOWN,365,0,0,LEFT,713,0,0,RIGHT,420,0,0,UP,641,0,0,UP,672,false,false,false,false,false,0,0,20,64,57,33,44,100,100,1
DOWN,902,3990,810,DOWN,441,0,0,DOWN,799,0,0,DOWN,282,0,0,UP,604,0,0,LEFT,672,false,false,false,false,false,0,0,20,64,39,57,68,96,96,1
RIGHT,914,3990,936,DOWN,570,0,0,DOWN,837,0,0,LEFT,158,0,0,RIGHT,652,0,0,DOWN,672,false,false,false,false,false,0,0,0,64,39,81,89,93,93,1
DOWN,926,4010,948,RIGHT,590,0,0,LEFT,917,0,0,DOWN,170,0,0,RIGHT,733,0,0,LEFT,672,false,false,false,false,false,20,20,20,64,15,105,65,81,81,1
RIGHT,950,4010,1211,DOWN,695,0,0,LEFT,939,0,0,LEFT,272,0,0,DOWN,854,0,0,RIGHT,672,false,false,false,false,false,0,0,20,64,33,143,89,80,80,1
RIGHT,962,4040,1223,RIGHT,683,0,0,LEFT,892,0,0,UP,372,0,0,LEFT,910,0,0,DOWN,672,false,false,false,false,false,30,30,50,80,57,143,65,68,68,1
UP,998,4130,1259,RIGHT,911,0,0,DOWN,757,0,0,LEFT,615,0,0,DOWN,965,0,0,LEFT,672,false,false,false,false,false,30,70,120,53,76,119,55,32,32,1
LEFT,1034,4220,984,UP,989,0,0,LEFT,603,0,0,LEFT,845,0,0,LEFT,783,0,0,UP,672,false,false,false,false,false,30,70,130,5,76,47,55,46,46,1
DOWN,1046,4230,972,LEFT,1068,0,0,DOWN,658,0,0,DOWN,885,0,0,DOWN,709,0,0,LEFT,672,false,false,false,false,false,10,50,110,19,76,23,55,58,58,1
RIGHT,1082,4310,1223,DOWN,1252,0,0,LEFT,708,0,0,LEFT,1126,0,0,DOWN,429,0,0,UP,672,false,false,false,false,false,20,60,100,29,92,23,127,68,68,1
DOWN,1107,4310,598,DOWN,1292,0,28,NEUTRAL,1292,0,48,NEUTRAL,1292,0,68,NEUTRAL,1292,0,88,NEUTRAL,672,false,false,false,false,false,0,0,60,-1,-1,-1,-1,85,85,1
RIGHT,1131,4310,716,RIGHT,1292,0,4,NEUTRAL,1292,0,24,NEUTRAL,1292,0,44,NEUTRAL,1292,0,64,NEUTRAL,672,false,false,false,false,false,0,0,0,-1,-1,-1,-1,68,68,1
DOWN,1143,4310,728,RIGHT,506,0,0,RIGHT,1292,0,12,NEUTRAL,1292,0,32,NEUTRAL,1292,0,52,NEUTRAL,672,false,false,false,false,false,0,0,0,46,-1,-1,-1,59,59,1
RIGHT,1167,4320,859,RIGHT,530,0,0,RIGHT,510,0,0,RIGHT,1292,0,8,NEUTRAL,1292,0,28,NEUTRAL,672,false,false,false,false,false,10,10,10,70,66,-1,-1,42,42,1
DOWN,1191,4380,883,RIGHT,624,0,0,DOWN,534,0,0,RIGHT,482,0,0,LEFT,1292,0,4,NEUTRAL,672,false,false,false,false,false,30,70,70,22,42,87,-1,29,29,1
RIGHT,1203,4410,1020,DOWN,773,0,0,DOWN,564,0,0,DOWN,578,0,0,DOWN,506,0,0,RIGHT,672,false,false,false,false,false,30,70,100,22,42,87,82,17,17,1
UP,1255,4580,1271,LEFT,881,171,0,LEFT,624,171,0,UP,645,171,0,UP,514,171,0,LEFT,1226,false,false,false,false,false,30,70,170,50,70,102,110,-1,-1,0
LEFT,1279,4640,1008,UP,869,147,0,LEFT,548,147,0,UP,562,147,0,UP,502,147,0,LEFT,1226,false,false,false,false,false,30,70,130,34,58,90,98,-1,-1,0
UP,1291,4670,996,LEFT,863,135,0,LEFT,443,135,0,UP,480,135,0,UP,496,135,0,LEFT,1226,false,false,false,false,false,30,70,130,16,76,84,92,-1,-1,0
RIGHT,1303,4890,859,UP,1292,0,36,NEUTRAL,419,123,0,UP,433,123,0,UP,490,123,0,LEFT,1226,false,false,false,false,false,220,260,320,-1,70,78,82,-1,-1,0
UP,1327,4890,883,RIGHT,1292,0,12,NEUTRAL,409,99,0,RIGHT,367,99,0,RIGHT,449,99,0,UP,1226,false,false,false,false,false,0,0,260,-1,58,103,87,-1,-1,0
UP,1339,4910,753,UP,498,0,0,NEUTRAL,339,87,0,RIGHT,373,87,0,RIGHT,425,87,0,UP,1226,false,false,false,false,false,20,20,250,66,52,97,81,-1,-1,0
UP,1363,4910,540,UP,522,0,0,RIGHT,318,63,0,UP,266,63,0,UP,369,63,0,RIGHT,1226,false,false,false,false,false,0,0,20,18,40,80,80,-1,-1,0
RIGHT,1375,4910,399,UP,534,0,0,RIGHT,282,51,0,UP,187,51,0,LEFT,326,51,0,UP,1226,false,false,false,false,false,0,0,20,18,34,66,78,-1,-1,0
UP,1400,4910,348,RIGHT,654,0,0,DOWN,159,26,0,RIGHT,174,26,0,LEFT,248,26,0,UP,1226,false,false,false,false,false,0,0,0,56,22,37,53,-1,-1,0
RIGHT,1416,4910,153,UP,764,0,0,RIGHT,134,10,0,UP,166,10,0,LEFT,196,10,0,RIGHT,1226,false,false,false,false,false,0,0,0,66,14,13,43,-1,-1,0
RIGHT,1428,5330,165,RIGHT,689,0,0,RIGHT,92,0,0,UP,1292,0,35,NEUTRAL,203,0,0,RIGHT,1226,false,false,false,false,false,420,420,420,66,9,-1,38,-1,-1,0
RIGHT,1440,5360,177,RIGHT,619,0,0,UP,11,0,0,LEFT,1292,0,23,NEUTRAL,136,0,0,UP,1226,false,false,false,false,false,30,450,450,66,33,-1,38,-1,-1,0
RIGHT,1452,5380,189,RIGHT,545,0,0,UP,79,0,0,DOWN,1292,0,11,NEUTRAL,55,0,0,LEFT,1226,false,false,false,false,false,20,50,470,66,55,-1,38,-1,-1,0
RIGHT,1464,5380,201,RIGHT,466,0,0,RIGHT,146,0,0,RIGHT,499,0,0,RIGHT,43,0,0,LEFT,1226,false,false,false,false,false,0,30,470,66,55,57,38,-1,-1,0
RIGHT,1476,5380,213,RIGHT,478,0,0,RIGHT,158,0,0,RIGHT,511,0,0,RIGHT,31,0,0,LEFT,1226,false,false,false,false,false,0,0,50,66,55,57,38,-1,-1,0
RIGHT,1488,5380,225,RIGHT,417,0,0,UP,170,0,0,RIGHT,430,0,0,UP,87,0,0,DOWN,1226,false,false,false,false,false,0,0,30,66,55,33,58,-1,-1,0
DOWN,1500,5380,237,RIGHT,371,0,0,RIGHT,182,0,0,RIGHT,393,0,0,RIGHT,175,0,0,LEFT,1226,false,false,false,false,false,0,0,0,66,55,33,62,-1,-1,0
DOWN,1516,5380,399,DOWN,254,0,0,UP,198,0,0,RIGHT,274,0,0,UP,159,0,0,LEFT,1226,false,false,false,false,false,0,0,0,66,55,33,47,-1,-1,0
DOWN,1528,5380,540,DOWN,199,0,0,RIGHT,297,0,0,DOWN,107,0,0,UP,276,0,0,DOWN,1226,false,false,false,false,false,0,0,0,66,55,47,47,-1,-1,0
DOWN,1552,5380,753,DOWN,380,0,0,RIGHT,430,0,0,DOWN,77,0,0,RIGHT,545,0,0,DOWN,1226,false,false,false,false,false,0,0,0,66,55,73,47,-1,-1,0
DOWN,1564,5380,883,DOWN,434,0,0,DOWN,559,0,0,DOWN,144,0,0,DOWN,619,0,0,DOWN,1226,false,false,false,false,false,0,0,0,66,55,73,47,-1,-1,0
LEFT,1576,5380,1020,DOWN,563,0,0,DOWN,604,0,0,RIGHT,234,0,0,LEFT,689,0,0,LEFT,1226,false,false,false,false,false,0,0,0,66,55,79,47,-1,-1,0
LEFT,1588,5400,1008,LEFT,646,0,0,DOWN,641,0,0,DOWN,222,0,0,LEFT,764,0,0,LEFT,1226,false,false,false,false,false,20,20,20,66,55,103,47,-1,-1,0
LEFT,1600,5400,996,LEFT,734,0,0,LEFT,746,0,0,RIGHT,130,0,0,UP,769,0,0,DOWN,1226,false,false,false,false,false,0,20,20,42,55,127,47,-1,-1,0
LEFT,1612,5420,984,LEFT,722,0,0,LEFT,785,0,0,DOWN,54,0,0,LEFT,887,0,0,DOWN,1226,false,false,false,false,false,20,20,40,54,55,151,47,-1,-1,0
LEFT,1624,5420,972,LEFT,787,0,0,DOWN,903,0,0,DOWN,42,0,0,LEFT,1019,0,0,LEFT,1226,false,false,false,false,false,0,20,40,42,55,169,47,-1,-1,0
LEFT,1636,5440,960,LEFT,840,0,0,LEFT,1015,0,0,LEFT,30,0,0,LEFT,1007,0,0,LEFT,1226,false,false,false,false,false,20,20,40,18,55,145,47,-1,-1,0
