Intersección (153,): -0.255990
Intersección (165,): -0.049940
Intersección (177,): 0.134072
Intersección (189,): -0.007942
Intersección (201,): -0.231697
Intersección (213,): 0.100255
Intersección (225,): 0.081528
Intersección (237,): -0.921996
Intersección (348,): 0.513337
Intersección (361,): 0.017560
Intersección (386,): -0.015753
Intersección (399,): -0.108310
Intersección (456,): -2.897457
Intersección (480,): 0.019869
Intersección (516,): -0.004808
Intersección (540,): 0.176077
Intersección (598,): -0.071522
Intersección (599,): 0.170802
Intersección (691,): 0.009092
Intersección (716,): 0.169921
Intersección (728,): -0.376132
Intersección (753,): -0.031997
Intersección (810,): 0.488979
Intersección (834,): 0.202098
Intersección (859,): 0.221326
Intersección (883,): 0.264946
Intersección (936,): 0.001059
Intersección (948,): 0.149476
Intersección (960,): 0.935908
Intersección (972,): 1.250569
Intersección (984,): 0.148581
Intersección (996,): 0.402413
Intersección (1008,): 4.393248
Intersección (1020,): -0.154298
Intersección (1211,): 0.006090
Intersección (1223,): -0.197497
Intersección (1259,): -1.247786
Intersección (1271,): 0.229038
