Intersección (153,): 0.205232
Intersección (165,): 0.012376
Intersección (177,): 0.146554
Intersección (189,): -0.497362
Intersección (201,): -0.922543
Intersección (213,): -1.255513
Intersección (225,): -0.015036
Intersección (237,): 0.085264
Intersección (348,): -0.546718
Intersección (361,): -0.409320
Intersección (386,): -0.076424
Intersección (399,): -0.257521
Intersección (456,): 0.066689
Intersección (480,): 0.027400
Intersección (516,): 0.012853
Intersección (540,): -0.553446
Intersección (598,): 0.023940
Intersección (599,): 0.108275
Intersección (691,): -0.015039
Intersección (716,): -0.010785
Intersección (728,): -0.107899
Intersección (753,): 0.023989
Intersección (810,): 0.054377
Intersección (834,): -0.375668
Intersección (859,): -0.036835
Intersección (883,): -0.033037
Intersección (936,): -1.806059
Intersección (948,): 0.018748
Intersección (960,): -0.098343
Intersección (972,): -1.914078
Intersección (984,): 0.165821
Intersección (996,): 0.383660
Intersección (1008,): 0.004428
Intersección (1020,): 0.086496
Intersección (1211,): -0.026543
Intersección (1223,): -0.023688
Intersección (1259,): -0.004873
Intersección (1271,): -0.088761
