Intersección (153,): -0.127994
Intersección (165,): 0.054724
Intersección (177,): -0.574529
Intersección (189,): 0.364839
Intersección (201,): -0.566329
Intersección (213,): 0.005403
Intersección (225,): -0.350946
Intersección (237,): -0.336562
Intersección (348,): -0.790600
Intersección (361,): -0.056693
Intersección (386,): -1.294346
Intersección (399,): 1.948293
Intersección (456,): -1.282770
Intersección (480,): -0.577472
Intersección (516,): 3.283686
Intersección (540,): -0.518106
Intersección (598,): -0.208737
Intersección (599,): -0.659013
Intersección (691,): -0.114173
Intersección (716,): -0.167353
Intersección (728,): -1.195800
Intersección (753,): -0.590096
Intersección (810,): 0.141026
Intersección (834,): -0.050434
Intersección (859,): -0.444034
Intersección (883,): -0.022471
Intersección (936,): -0.284831
Intersección (948,): -0.767636
Intersección (960,): 0.137249
Intersección (972,): -0.043770
Intersección (984,): -0.254796
Intersección (996,): -0.015027
Intersección (1008,): 0.269951
Intersección (1020,): 0.127146
Intersección (1211,): 0.197229
Intersección (1223,): -0.144470
Intersección (1259,): 0.124252
Intersección (1271,): -0.047312
