Intersección (153,): 0.031125
Intersección (165,): -0.224381
Intersección (177,): -0.048980
Intersección (189,): -0.602822
Intersección (201,): -0.398771
Intersección (213,): -0.349711
Intersección (225,): 0.001246
Intersección (237,): -0.004476
Intersección (348,): -0.577526
Intersección (361,): -0.032968
Intersección (386,): 0.020528
Intersección (399,): -0.049834
Intersección (456,): 0.012499
Intersección (480,): -0.017616
Intersección (516,): 0.002966
Intersección (540,): 0.182818
Intersección (598,): 0.028489
Intersección (599,): -0.088168
Intersección (691,): -0.011603
Intersección (716,): 0.051255
Intersección (728,): -0.130239
Intersección (753,): -0.004255
Intersección (810,): 0.408847
Intersección (834,): 0.475450
Intersección (859,): 0.084768
Intersección (883,): -0.032116
Intersección (936,): 0.063708
Intersección (948,): -0.026518
Intersección (960,): -0.139796
Intersección (972,): -0.562539
Intersección (984,): 0.987831
Intersección (996,): -0.072727
Intersección (1008,): -0.620196
Intersección (1020,): 0.414068
Intersección (1211,): -0.149916
Intersección (1223,): 0.043744
Intersección (1259,): -0.043826
Intersección (1271,): 0.089587
