totalTime,score,pacmanCurrentNodeIndex,pacmanLastMoveMade,ghost1NodeIndex,ghost1EdibleTime,ghost1LairTime,ghost1LastMove,ghost2NodeIndex,ghost2EdibleTime,ghost2LairTime,ghost2LastMove,ghost3NodeIndex,ghost3EdibleTime,ghost3LairTime,ghost3LastMove,ghost4NodeIndex,ghost4EdibleTime,ghost4LairTime,ghost4LastMove,timeOfLastGlobalReversal,pacmanWasEaten,ghost1Eaten,ghost2Eaten,ghost3Eaten,ghost4Eaten
UP,603,3230,399,UP,634,0,0,DOWN,444,0,0,UP,279,0,0,UP,310,0,0,UP,377,false,false,false,false,false,0,0,0,52,34,58,39,76,76,2
LEFT,619,3230,237,UP,732,0,0,LEFT,341,0,0,LEFT,211,0,0,RIGHT,119,0,0,UP,377,false,false,false,false,false,0,0,0,84,34,26,17,92,92,2
RIGHT,634,3260,810,DOWN,1292,0,36,NEUTRAL,1292,0,56,NEUTRAL,1292,0,76,NEUTRAL,1292,0,96,NEUTRAL,377,false,false,false,false,false,20,30,30,-1,-1,-1,-1,29,29,2
DOWN,658,3320,834,RIGHT,1292,0,12,NEUTRAL,1292,0,32,NEUTRAL,1292,0,52,NEUTRAL,1292,0,72,NEUTRAL,377,false,false,false,false,false,30,70,90,-1,-1,-1,-1,42,42,2
LEFT,670,3350,960,DOWN,498,0,0,NEUTRAL,1292,0,20,NEUTRAL,1292,0,40,NEUTRAL,1292,0,60,NEUTRAL,377,false,false,false,false,false,30,70,120,90,-1,-1,-1,35,35,2
DOWN,682,3380,948,LEFT,486,0,0,LEFT,1292,0,8,NEUTRAL,1292,0,28,NEUTRAL,1292,0,48,NEUTRAL,377,false,false,false,false,false,30,70,130,90,-1,-1,-1,25,25,2
LEFT,706,3440,1211,DOWN,592,0,0,LEFT,482,0,0,LEFT,1292,0,4,NEUTRAL,1292,0,24,NEUTRAL,377,false,false,false,false,false,30,70,130,90,110,-1,-1,21,21,2
UP,758,3610,936,RIGHT,656,175,0,UP,468,175,0,RIGHT,508,175,0,LEFT,508,175,0,RIGHT,733,false,false,false,false,false,30,110,170,40,60,100,100,93,93,1
UP,770,3630,810,UP,620,163,0,UP,474,163,0,RIGHT,502,163,0,LEFT,514,163,0,RIGHT,733,false,false,false,false,false,20,60,160,34,54,82,87,96,96,1
RIGHT,782,3650,691,UP,590,151,0,RIGHT,480,151,0,RIGHT,496,151,0,LEFT,442,151,0,UP,733,false,false,false,false,false,20,50,150,28,48,64,77,100,100,1
UP,818,3650,598,RIGHT,546,115,0,UP,367,115,0,RIGHT,449,115,0,UP,396,115,0,RIGHT,733,false,false,false,false,false,0,0,20,10,30,14,70,85,85,1
RIGHT,830,3650,480,UP,484,103,0,RIGHT,373,103,0,RIGHT,425,103,0,UP,316,103,0,UP,733,false,false,false,false,false,0,0,0,4,24,8,64,93,93,1
UP,866,3850,516,RIGHT,1292,0,7,NEUTRAL,187,67,0,LEFT,326,67,0,UP,231,67,0,RIGHT,733,false,false,false,false,false,0,0,200,-1,54,62,46,71,71,1
RIGHT,878,3850,386,UP,503,0,0,RIGHT,181,55,0,LEFT,290,55,0,UP,237,55,0,RIGHT,733,false,false,false,false,false,0,0,200,25,48,48,40,82,82,1
LEFT,906,3850,225,UP,531,0,0,RIGHT,87,27,0,UP,183,27,0,LEFT,329,27,0,DOWN,733,false,false,false,false,false,0,0,0,49,58,42,26,94,94,1
UP,918,3880,213,LEFT,447,0,0,UP,25,15,0,RIGHT,177,15,0,LEFT,427,15,0,DOWN,733,false,false,false,false,false,30,30,30,49,44,36,44,97,97,1
DOWN,953,3950,972,LEFT,1292,0,29,NEUTRAL,1292,0,49,NEUTRAL,1292,0,69,NEUTRAL,1292,0,89,NEUTRAL,733,false,false,false,false,false,10,50,100,-1,-1,-1,-1,58,58,1
LEFT,989,4000,1223,DOWN,505,0,0,RIGHT,1292,0,13,NEUTRAL,1292,0,33,NEUTRAL,1292,0,53,NEUTRAL,733,false,false,false,false,false,0,30,70,143,-1,-1,-1,68,68,1
UP,1001,4020,1211,LEFT,543,0,0,DOWN,1292,0,1,NEUTRAL,1292,0,21,NEUTRAL,1292,0,41,NEUTRAL,733,false,false,false,false,false,20,20,80,119,-1,-1,-1,80,80,1
LEFT,1025,4020,948,UP,739,0,0,LEFT,558,0,0,DOWN,495,0,0,LEFT,1292,0,17,NEUTRAL,733,false,false,false,false,false,0,0,20,71,79,99,-1,81,81,1
UP,1037,4040,936,LEFT,727,0,0,LEFT,593,0,0,LEFT,483,0,0,LEFT,1292,0,5,NEUTRAL,733,false,false,false,false,false,20,20,40,71,55,75,-1,93,93,1
