Intersección (153,): -0.227911
Intersección (165,): 1.773619
Intersección (177,): -0.659494
Intersección (189,): -4.631273
Intersección (201,): -0.830287
Intersección (213,): 3.268526
Intersección (225,): -0.150785
Intersección (237,): 1.585470
Intersección (348,): -3.207902
Intersección (361,): 0.558897
Intersección (386,): 0.347436
Intersección (399,): -3.170444
Intersección (456,): 0.730432
Intersección (480,): -0.993141
Intersección (516,): -0.078939
Intersección (540,): -4.704111
Intersección (598,): -3.012274
Intersección (599,): -2.881777
Intersección (691,): -0.297008
Intersección (716,): -0.420844
Intersección (728,): 0.309830
Intersección (753,): -0.190695
Intersección (810,): 4.163470
Intersección (834,): -0.707480
Intersección (859,): 4.563020
Intersección (883,): 0.570027
Intersección (936,): 3.681768
Intersección (948,): -0.037437
Intersección (960,): -4.700165
Intersección (972,): -6.179782
Intersección (984,): 4.583014
Intersección (996,): -2.510274
Intersección (1008,): 1.671075
Intersección (1020,): -0.136902
Intersección (1211,): 0.140378
Intersección (1223,): 2.959192
Intersección (1259,): 0.887710
Intersección (1271,): 9.106024
