nextPacmanMove,totalTime ,score ,pacmanCurrentNodeIndex ,pacmanLastMoveMade ,ghost1NodeIndex ,ghost1EdibleTime ,ghost1LairTime ,ghost1LastMove ,ghost2NodeIndex ,ghost2EdibleTime ,ghost2LairTime ,ghost2LastMove ,ghost3NodeIndex ,ghost3EdibleTime,ghost3LairTime ,ghost3LastMove ,ghost4NodeIndex ,ghost4EdibleTime ,ghost4LairTime ,ghost4LastMove ,timeOfLastGlobalReversal ,pacmanWasEaten ,ghost1Eaten ,ghost2Eaten ,ghost3Eaten  ,ghost4Eaten ,,,,,,,,,,
UP,624,1790,936,RIGHT,765,175,0,RIGHT,792,175,0,DOWN,663,175,0,UP,479,175,0,RIGHT,599,false,false,false,false,false,30,110,170,37,79,69,71,93,93,2
UP,636,1810,810,UP,684,163,0,RIGHT,848,163,0,RIGHT,627,163,0,UP,437,163,0,UP,599,false,false,false,false,false,20,60,160,19,73,51,65,96,96,2
RIGHT,648,2010,691,UP,1292,0,38,NEUTRAL,854,151,0,RIGHT,574,151,0,UP,413,151,0,UP,599,false,false,false,false,false,200,230,330,-1,66,39,59,100,100,2
UP,684,2010,598,RIGHT,1292,0,2,NEUTRAL,997,115,0,RIGHT,489,115,0,RIGHT,308,115,0,UP,599,false,false,false,false,false,0,0,200,-1,73,21,41,83,83,2
LEFT,696,2010,480,UP,488,0,0,LEFT,1003,103,0,RIGHT,495,103,0,RIGHT,272,103,0,UP,599,false,false,false,false,false,0,0,200,8,91,15,35,76,76,2
UP,720,2020,456,LEFT,594,0,0,LEFT,1069,79,0,DOWN,507,79,0,RIGHT,196,79,0,RIGHT,599,false,false,false,false,false,10,10,10,40,92,51,71,98,98,2
LEFT,732,2040,348,UP,632,0,0,DOWN,1129,67,0,DOWN,513,67,0,RIGHT,249,67,0,DOWN,599,false,false,false,false,false,20,30,30,56,110,64,65,95,95,2
DOWN,757,2040,399,LEFT,686,0,0,LEFT,1273,42,0,RIGHT,526,42,0,RIGHT,327,42,0,DOWN,599,false,false,false,false,false,0,0,30,56,98,26,62,25,25,2
LEFT,769,2070,540,DOWN,761,0,0,LEFT,1279,30,0,RIGHT,532,30,0,RIGHT,378,30,0,RIGHT,599,false,false,false,false,false,30,30,60,32,92,8,44,36,36,2
UP,793,2470,516,LEFT,572,0,0,UP,1291,6,0,RIGHT,1292,0,19,NEUTRAL,390,6,0,RIGHT,599,false,false,false,false,false,0,410,430,32,104,-1,16,48,48,2
LEFT,805,2470,386,UP,443,0,0,UP,1142,0,0,UP,1292,0,7,NEUTRAL,334,0,0,UP,599,false,false,false,false,false,0,0,430,40,107,-1,13,40,40,2
LEFT,833,2470,201,UP,343,0,0,RIGHT,911,0,0,UP,519,0,0,RIGHT,212,0,0,LEFT,599,false,false,false,false,false,0,0,0,69,107,43,11,44,44,2
DOWN,845,2470,189,LEFT,294,0,0,UP,793,0,0,UP,531,0,0,RIGHT,200,0,0,LEFT,599,false,false,false,false,false,0,0,0,45,107,67,11,56,56,2
DOWN,873,2530,361,LEFT,172,0,0,RIGHT,552,0,0,UP,406,0,0,RIGHT,172,0,0,LEFT,599,false,false,false,false,false,20,60,60,35,75,66,35,72,72,2
DOWN,885,2530,480,DOWN,184,0,0,RIGHT,531,0,0,LEFT,342,0,0,RIGHT,160,0,0,LEFT,599,false,false,false,false,false,0,30,60,45,51,42,45,76,76,2
DOWN,897,2530,598,DOWN,284,0,0,DOWN,519,0,0,LEFT,432,0,0,DOWN,270,0,0,DOWN,599,false,false,false,false,false,0,0,60,45,51,42,59,83,83,2
DOWN,921,2530,716,RIGHT,358,0,0,LEFT,664,0,0,DOWN,643,0,0,DOWN,541,0,0,DOWN,599,false,false,false,false,false,0,0,0,51,27,66,61,68,68,2
DOWN,945,2530,834,LEFT,247,0,0,UP,719,0,0,LEFT,904,0,0,DOWN,766,0,0,DOWN,599,false,false,false,false,false,0,0,0,99,27,30,35,73,73,2
RIGHT,957,2530,960,DOWN,80,0,0,UP,707,0,0,LEFT,942,0,0,RIGHT,884,0,0,DOWN,599,false,false,false,false,false,0,0,0,123,45,18,35,69,69,2
RIGHT,969,2560,972,RIGHT,9,0,0,LEFT,627,0,0,UP,1060,0,0,DOWN,935,0,0,LEFT,599,false,false,false,false,false,30,30,30,141,69,30,37,58,58,2
DOWN,981,2570,984,RIGHT,91,0,0,DOWN,550,0,0,UP,1156,0,0,DOWN,1053,0,0,DOWN,599,false,false,false,false,false,10,40,40,141,93,54,61,46,46,2
RIGHT,1017,2660,1259,DOWN,420,0,0,DOWN,284,0,0,UP,1241,0,0,RIGHT,1208,0,0,RIGHT,599,false,false,false,false,false,30,70,110,130,165,18,51,32,32,2
RIGHT,1029,2690,1271,RIGHT,549,0,0,DOWN,194,0,0,RIGHT,1253,0,0,RIGHT,1220,0,0,RIGHT,599,false,false,false,false,false,30,70,130,106,155,18,51,21,21,2
LEFT,1081,2860,1020,LEFT,698,175,0,RIGHT,208,175,0,LEFT,1171,175,0,UP,1234,175,0,LEFT,1056,false,false,false,false,false,30,110,170,56,105,32,73,84,84,1
DOWN,1093,2890,1008,LEFT,674,163,0,UP,202,163,0,LEFT,1135,163,0,UP,1228,163,0,LEFT,1056,false,false,false,false,false,30,70,170,74,123,14,67,86,86,1
LEFT,1117,3140,1271,DOWN,587,139,0,RIGHT,190,139,0,LEFT,1292,0,23,NEUTRAL,1151,139,0,UP,1056,false,false,false,false,false,20,260,320,110,159,-1,55,109,109,1
LEFT,1129,3140,1259,LEFT,593,127,0,RIGHT,184,127,0,LEFT,1292,0,11,NEUTRAL,1098,127,0,RIGHT,1056,false,false,false,false,false,0,30,290,125,177,-1,49,112,112,1
UP,1165,3230,1223,LEFT,705,91,0,RIGHT,81,91,0,UP,566,0,0,DOWN,1055,91,0,UP,1056,false,false,false,false,false,30,70,90,95,159,113,31,127,127,1
